web-scraper-order,web-scraper-start-url,Title,Date,Rating,Verified,Review
1587555567-3551,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfy for working out and running or just running errands,"Reviewed in the United States on December 12, 2019",5.0 out of 5 stars,null,I never want to take these off!  So comfortable
1587555567-523,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great Workout/Running Shoe,"Reviewed in the United States on May 23, 2019",5.0 out of 5 stars,Verified Purchase,"Very comfortable. A great workout/running shoe. Not quite as comfortable if you are using these for a job where you're on your feet all day, but not bad. Great shoe."
1587555567-1086,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Super comfortable, cute","Reviewed in the United States on September 6, 2018",5.0 out of 5 stars,Verified Purchase,I'm a true size 8 and it fit perfectly. Bought for a trip coming up to Europe so I had comfortable walking shoes. I actually just sprained my ankle so I've been wearing these and they are very comfortable. Also really cute! I bought grey and have gotten multiple compliments. Would definitely recommend.
1587555567-3517,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sew problem,"Reviewed in the United States on December 12, 2019",3.0 out of 5 stars,null,There is a piece of material sewn into the toe of my left shoe that I cannot reach to cut out and it rubs the tip of my toes.  Annoying.
1587555567-1235,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nice tennis shoe,"Reviewed in the United States on February 23, 2020",4.0 out of 5 stars,Verified Purchase,"Very comfortable shoe, just what I was looking for"
1587555567-2976,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfortable,"Reviewed in the United States on January 10, 2020",5.0 out of 5 stars,Verified Purchase,I love them. They are so comfortable!
1587555567-2771,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Comfy, breathable, and high quality.","Reviewed in the United States on June 27, 2019",5.0 out of 5 stars,Verified Purchase,Love Adidas shoes. They fit wonderfully and are very comfortable.
1587555567-2192,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Very comfortable,"Reviewed in the United States on February 4, 2020",5.0 out of 5 stars,Verified Purchase,So comfortable!
1587555567-1923,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,As expected,"Reviewed in the United States on May 3, 2019",5.0 out of 5 stars,Verified Purchase,As expected
1587555567-887,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Overall great 👍,"Reviewed in the United States on March 21, 2019",5.0 out of 5 stars,Verified Purchase,I wear 7 1/2-8 depending on the shoe. I got these in 7 1/2 and there’s about 1/2 inch of room but overall very comfy and light. I work 12 hour shifts and they’re durable. I will get another pair in a differently color soon 😁
1587555567-1462,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great shoes. Super comfortable,"Reviewed in the United States on May 1, 2018",5.0 out of 5 stars,Verified Purchase,Great shoes. Super comfortable. They do run about a half size too big but I find that consistant in adidas.
1587555567-662,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Lightweight and Comfortable Shoes!,"Reviewed in the United States on September 8, 2019",5.0 out of 5 stars,Verified Purchase,These shoes are the most comfortable shoes that I own! They run TTS and feel as if you aren’t wearing any shoes while exercising! They are also perfect for traveling!
1587555567-2315,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,The r super leightweight n comfortable!,"Reviewed in the United States on February 3, 2020",5.0 out of 5 stars,Verified Purchase,"Second pr I have had, & love them!"
1587555567-1805,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Comfy:  but order your normal size, not what's suggested on the site","Reviewed in the United States on July 23, 2019",5.0 out of 5 stars,Verified Purchase,These are super comfortable trainers (not running shoes) which I'm using for fitness classes and walking about town.  Super comfy - great color!
1587555567-1512,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Slip -on,"Reviewed in the United States on November 4, 2018",5.0 out of 5 stars,Verified Purchase,Love that you can just slip it on and go! It’s comfy and Stylish at the same time.
1587555567-3226,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Awesome,"Reviewed in the United States on December 17, 2019",5.0 out of 5 stars,Verified Purchase,Great shoe
1587555567-3116,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Best shoes EVER!!,"Reviewed in the United States on November 5, 2018",5.0 out of 5 stars,Verified Purchase,These are probably the most comfortable shoes I have purchased!!
1587555567-86,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Poorly made with no quality oversight- and no support,"Reviewed in the United States on October 21, 2019",2.0 out of 5 stars,Verified Purchase,"I sort of wonder if these weren't the real things as well.  The left one looked okay, the right shoe was sewn onto the sole badly which made the shoe look longer from toe to ties.  They make nice slippers/quick shopping shoes, wouldn't wear them exercising at all.  Sad, because the picture makes them look much nicer - Not sure still if these were real or fake."
1587555567-1948,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Best shoes ever,"Reviewed in the United States on February 2, 2019",5.0 out of 5 stars,Verified Purchase,I have not bought in two colors. so comfortable and no need to retie.
1587555567-3467,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Memory foam is odd,"Reviewed in the United States on December 5, 2019",3.0 out of 5 stars,null,"I ordered these through Prime Wardrobe and returned them.  I really like the look of them and I do think they're comfortable, if a little tricky to put on. They run true to size in my opinion.  I'm a seven in most shoes but a 7.5 in a few brands that run small, like Nike, where I always wear 7.5.  I wore a seven in these and they fit but were slightly snug.

My main reason for returning them was, the memory foam, like, stops about a centimeter from the edge of the toe inside the shoe.  Like, you have memory foam in every part of the shoe except the tip of your toes???  I didn't understand it.  I really want a super comfortable shoe as I will be walking in these a lot at Disney and I immediately knew this would feel weird, but the shoe fit so well that I hesitated to go up to a 7.5, so I just returned them."
1587555567-50,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,My favorite tennis shoes EVER!,"Reviewed in the United States on May 24, 2019",5.0 out of 5 stars,Verified Purchase,"I LOVE THESE SHOES!!!
Ok, I’m not into sports, so I don’t know if they are good for running, etc. However, I am on my feet all day for my job and these are the most comfortable AND fashionable shoes!!!!! I hate tennis shoes because they always make my foot look so bulky- but not these! They make my foot look small- they have a smaller look to them but with more comfort that any pair I’ve had before. I always have to add comfort insoles to my shoes, but not with these!
They do run large. I had tried them on in-store so I knew which size to buy. I normally wear an 8.5 in tennis shoes, but in these I’m a size 7.5! Big difference if you aren’t expected it. I bought them from Amazon because they were $20 less than in-store.
I’m about to buy a second pair from Amazon in another color! :)
I have literally had a stranger stop me to tell me they loved my shoes and ask about them! Another note- they are actually slip-ons. The laces make them look like typical shoes, and they can tighten them some to adjust for comfort. But you can still slip them on and off with the laces tied without affecting anything. Plus- they don’t stretch out from slipping them on and off! They are designed so well and fit like a glove even though they are slip-ons.
I can’t say enough good things about these shoes!! I don’t have any negative things to add! Get the shoes!!! Maybe try them on at a store for size, but for the price, get them from Amazon!"
1587555567-1466,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Thanks,"Reviewed in the United States on July 20, 2019",5.0 out of 5 stars,Verified Purchase,Like them
1587555567-160,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Super comfortable casual shoe,"Reviewed in the United States on October 10, 2019",5.0 out of 5 stars,Verified Purchase,"I love these shoes.  This is my second pair this year; I wore the first pair out.  This pair I sprayed with repellent to hopefully avoid some of the dirt light colored tennis shoes inevitably get, but even if it doesn’t work, I won’t care much.  They are slip ons!  The laces are just for show and don’t do that much.  Probably not great for people with wide feet, but mine are narrow so it’s one of the few slip-on shoes that fit.  They are as cool may as slippers."
1587555567-1526,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love,"Reviewed in the United States on March 8, 2019",5.0 out of 5 stars,Verified Purchase,Love these shoes. So comfortable.
1587555567-663,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,I will buy more!,"Reviewed in the United States on January 1, 2020",5.0 out of 5 stars,Verified Purchase,I like it and it fits good. Exact size and doesn’t run big or small.. true to size
1587555567-819,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,I love Adidas terrycloth.,"Reviewed in the United States on November 3, 2019",5.0 out of 5 stars,Verified Purchase,I love these kicks! The price was reasonable and the package showed up a day before I expected them. Fast delivery. I am pleased.
1587555567-3389,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Perfect!,"Reviewed in the United States on February 4, 2019",5.0 out of 5 stars,Verified Purchase,So comfortable and lightweight!
1587555567-1482,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Perfect and in love!,"Reviewed in the United States on July 12, 2019",5.0 out of 5 stars,Verified Purchase,I’m usually a 8.5 I got an 8!
1587555567-1950,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,very confortable!,"Reviewed in the United States on January 16, 2020",5.0 out of 5 stars,Verified Purchase,high quality product!
1587555567-944,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Perfect shoes for walking,"Reviewed in the United States on January 27, 2020",5.0 out of 5 stars,Verified Purchase,Extremely light. Love the shoes
1587555567-253,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,So cute!,"Reviewed in the United States on September 8, 2019",5.0 out of 5 stars,Verified Purchase,Adidas is my favorite and these are some of my favorite tennis shoes! So cute and comfortable! They have a memory foam in them. I would say these are probably not some you want to run in or stand in all day but they are perfect for going to the gym in!
1587555567-73,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Cute and comfortable!,"Reviewed in the United States on December 11, 2019",5.0 out of 5 stars,Verified Purchase,These are so cute and soooo comfy! I normally hate wearing shoes but these feel like nothing on! They do run slightly larger I normally always wear a size 8 I have skinnier feet but the size 8 was a little sloppy so I got a 7.5 and they fit perfect and feel great! Definitely recommend!
1587555567-49,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,This is a slip on... Buy it!!,"Reviewed in the United States on October 15, 2019",5.0 out of 5 stars,Verified Purchase,"I debating getting these sneakers for weeks. I really wanted a slip on sneaker to walk my dog but still wanted decent support. I didn’t realize until they arrived that they are all one piece. The higher back allows for you to hold them while slipping your foot in. The laces are functional in the sense that they can make the shoe tighter if your foot is very narrow but it’s really not needed.

Fit: I usually wear a 7 or 7.5 and bought size 7. They fit perfectly but with no room to spare. A 7.5 would be too large for sure.

Width: These are a very narrow shoe. I’ve included a picture compared to my adidas boost running sneakers.

Function: NOT for running. These are a walking or fashion sneaker. I was surprised after receiving that other reviewers mentioned getting injured after running in these because the minute you take them out of the box you should know they aren’t suitable for that. I walk 3 miles 2-3 times a week and wear these to work pretty often. They work perfectly for that kind of wear but not a high impact activity like running.

Comfort: They are extremely comfortable and very light weight. The fabric is breathable.

Cons: The sole creases in the middle after only a couple wears. They run narrow and might not fit a wider foot. The bottom scuffs away pretty easy and so I think that will be the first part to wear down making them unwearable. I would still buy another pair regardless of these things.

Pros: They look good, feel good and are incredibly functional and versatile. The slip on style is great for people who just don’t want to tie their shoes (you know who you are!) and the branding isn’t in your face slapped all over the shoe.

10/10 would recommend and as soon as I can afford it I’ll be buying a 2nd pair"
1587555567-1459,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Loved them,"Reviewed in the United States on April 23, 2019",5.0 out of 5 stars,Verified Purchase,Just as it said they are very comfortable.
1587555567-3296,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Always had great results with y’all,"Reviewed in the United States on December 19, 2019",5.0 out of 5 stars,Verified Purchase,Great site
1587555567-1762,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love these shoes!,"Reviewed in the United States on May 8, 2019",5.0 out of 5 stars,Verified Purchase,Very comfortable!
1587555567-777,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfy and Stylish!,"Reviewed in the United States on May 16, 2019",5.0 out of 5 stars,Verified Purchase,"Love these shoes, they’re my second pair in a different color. One of the most comfortable shoes I’ve ever worn. I work 12 hr days on my feet and these shoes are lightweight and comfy! I’m normally a 9.5-10 shoe size and for these I order 9.5 and they fit perfectly."
1587555567-3183,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfortable,"Reviewed in the United States on January 8, 2020",5.0 out of 5 stars,Verified Purchase,Comfortable
1587555567-2616,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfortable fit size 8,"Reviewed in the United States on October 23, 2019",5.0 out of 5 stars,Verified Purchase,"Easy slide in, very soft! Can definitely run and jump in these shoes! Very satisfied!"
1587555567-2783,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,They are very comfy,"Reviewed in the United States on March 4, 2020",5.0 out of 5 stars,Verified Purchase,They are very comfy
1587555567-830,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great buy!,"Reviewed in the United States on March 27, 2020",5.0 out of 5 stars,Verified Purchase,"These shoes are super comfortable and cute! Fit just as expected. They have laces but are pretty much slip on, which I like. I got the pink and they are more of a light purple IMO but I still think they are super cute. I will probably purchase another pair in a different color soon."
1587555567-971,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,The cloud thing is real,"Reviewed in the United States on September 22, 2019",5.0 out of 5 stars,Verified Purchase,Literally the most comfortable soles that I’ve ever had.
1587555567-1839,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,i recomend it to you,"Reviewed in the United States on December 28, 2018",5.0 out of 5 stars,Verified Purchase,i recomend this shoes 100%
1587555567-3209,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Gift,"Reviewed in the United States on December 21, 2018",5.0 out of 5 stars,Verified Purchase,It is a Christmas gift and came promptly. Looks good.
1587555567-2748,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great quality,"Reviewed in the United States on January 11, 2020",5.0 out of 5 stars,Verified Purchase,I love these shoes. They fit great and exceeded my expectations!
1587555567-1307,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,So comfortable,"Reviewed in the United States on February 9, 2020",5.0 out of 5 stars,Verified Purchase,Second time I have ordered same exact shoes. Love them
1587555567-3508,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Most light weight sneaker!,"Reviewed in the United States on July 24, 2018",5.0 out of 5 stars,null,"Sometimes I'm an 8.5, others a 9. I ordered these in a 9 and they're easily a half to a full size too big. That said, these are the lightest, comfiest sneakers I own. I will be buying these in every color, size 8.5.
Not only that, they look so cute on as well!"
1587555567-3473,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,FAKE!!!,"Reviewed in the United States on December 17, 2019",1.0 out of 5 stars,null,"I bought these on Black Friday because I thought they were a great deal for REAL Adidas. However, after receiving the product, I thought they felt like poor quality even though they are comfy. I recently learned about Fakespot.com- it checks the reviews any that are fake. It then grades the item. These came up as an F. I doubt these will last long and seriously disappointed with Amazon for allowing counterfeit items to be sold."
1587555567-490,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfy,"Reviewed in the United States on August 2, 2019",5.0 out of 5 stars,Verified Purchase,These sneakers are super comfy. I wear a size 8 and purchased a size 8. They look a little wide but fit well. I wore them during long walks and have no complaints.
1587555567-3203,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Fits true to size,"Reviewed in the United States on October 28, 2018",2.0 out of 5 stars,Verified Purchase,Cheap quality  new to adidas
1587555567-2343,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love these!,"Reviewed in the United States on January 21, 2020",5.0 out of 5 stars,Verified Purchase,Comfy shoes for work!
1587555567-2579,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great inexpensive comfortable shoe,"Reviewed in the United States on March 22, 2020",5.0 out of 5 stars,Verified Purchase,Love the look and comfort.
1587555567-2939,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great buy,"Reviewed in the United States on September 17, 2019",5.0 out of 5 stars,Verified Purchase,"Great fit ,very comfortable"
1587555567-857,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Get them,"Reviewed in the United States on September 23, 2019",5.0 out of 5 stars,Verified Purchase,I am so in love with this shoe!! It’s like walking/ running  on pillows
1587555567-1713,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,They fit well.,"Reviewed in the United States on February 14, 2019",5.0 out of 5 stars,Verified Purchase,I love the fit.
1587555567-2966,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Perfect,"Reviewed in the United States on April 16, 2020",5.0 out of 5 stars,Verified Purchase,Love them ! New
1587555567-1113,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Runs a hair big.,"Reviewed in the United States on November 26, 2018",5.0 out of 5 stars,Verified Purchase,They run a hair big but you can't go down a half size or they won't fit.  They are VERY comfortable and lightweight.
1587555567-2873,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Fav shoes!!!,"Reviewed in the United States on December 26, 2019",5.0 out of 5 stars,Verified Purchase,Love them!!!
1587555567-1993,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Good looking shoes and comfy,"Reviewed in the United States on January 29, 2020",5.0 out of 5 stars,Verified Purchase,Cute!! Get lots of compliments!  I’m a dental hygienist and I wear these seeing patients all day!  They are comfy!
1587555567-2864,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great,"Reviewed in the United States on January 29, 2020",5.0 out of 5 stars,Verified Purchase,Such a good deal on these. Super lightweight and comfortable
1587555567-1865,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ah-MAZZZZING!!,"Reviewed in the United States on July 5, 2019",5.0 out of 5 stars,Verified Purchase,These are the most comfortable shoes I have ever purchased online! I can wear all day without my feet aching and I work standing for 8-12 hours at a time
1587555567-3305,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love!,"Reviewed in the United States on December 24, 2019",5.0 out of 5 stars,Verified Purchase,Love!
1587555567-2175,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Runs TOO big,"Reviewed in the United States on January 17, 2020",1.0 out of 5 stars,Verified Purchase,"The shoe runs WAY too big. Ordered my normal size, only for it to be very wide and not fitting correctly. Don’t purchase."
1587555567-3000,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfy,"Reviewed in the United States on December 22, 2019",5.0 out of 5 stars,Verified Purchase,Love them and so comfy and light weight
1587555567-464,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,SO COMFY!,"Reviewed in the United States on August 29, 2018",5.0 out of 5 stars,Verified Purchase,"These are the most comfortable tennis shoes I have ever owned. I use to always buy Nike's but after buying these I will stick to Addidas. They do fit a little big, but not overly big-- I probably could have ordered a half size down. I'm a RTR and am on my feet a lot, so these are wonderful."
1587555567-1206,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love These,"Reviewed in the United States on May 30, 2019",5.0 out of 5 stars,Verified Purchase,These r the best. I wear them every day at the gym.
1587555567-1385,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great everyday shoes,"Reviewed in the United States on December 13, 2019",5.0 out of 5 stars,Verified Purchase,Super comfy
1587555567-1898,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Very slim shoe,"Reviewed in the United States on June 25, 2019",3.0 out of 5 stars,Verified Purchase,I wasn’t expecting the shoelaces to be in the shoe. It is a bit narrow for my feet.
1587555567-2318,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Exercise on a Cloud,"Reviewed in the United States on July 23, 2019",5.0 out of 5 stars,Verified Purchase,My feet feel so taken care of in these sneakers! I can do all of my HILT training and stretch. They really are the best sneakers I've ever owned.
1587555567-3353,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,I loved the shoe!!!!,"Reviewed in the United States on August 15, 2019",5.0 out of 5 stars,Verified Purchase,Wonderful purchase.
